symbol,hist_total_trades,hist_win_rate,hist_avg_pnl,hist_avg_score,hist_strength_score
ATI,564,0.8014,0.0592,0.8101,4.3578
ADP,704,0.7912,0.0303,0.8148,4.3556
SCHW,745,0.7718,0.0462,0.8153,4.3547
WAB,578,0.8114,0.0402,0.8109,4.3539
SF,734,0.7766,0.0374,0.8185,4.3522
COO,804,0.7637,0.0457,0.8144,4.3513
WSO,625,0.7952,0.0363,0.8198,4.3501
NSP,567,0.8025,0.0462,0.8170,4.3501
CXT,775,0.7755,0.0353,0.8141,4.3492
CSGP,514,0.8132,0.0460,0.8187,4.3486
GATX,662,0.7885,0.0372,0.8184,4.3485
HOG,723,0.7787,0.0402,0.8151,4.3478
SYNA,507,0.8047,0.0575,0.8198,4.3470
AYI,470,0.8319,0.0408,0.8156,4.3468
SHW,726,0.7879,0.0314,0.8118,4.3467
ITW,596,0.8104,0.0319,0.8128,4.3450
FICO,665,0.7865,0.0418,0.8156,4.3447
GLE.PA,496,0.8226,0.0479,0.8116,4.3434
NSC,765,0.7804,0.0317,0.8122,4.3428
NBIX,624,0.7837,0.0617,0.8106,4.3417
FRT,743,0.7860,0.0284,0.8122,4.3413
CPT,515,0.8272,0.0330,0.8133,4.3406
BKNG,507,0.8067,0.0582,0.8159,4.3394
NFG,803,0.7796,0.0267,0.8105,4.3394
ED,776,0.7835,0.0241,0.8124,4.3382
DECK,659,0.7739,0.0574,0.8165,4.3376
BKH,673,0.7964,0.0300,0.8118,4.3376
PEP,845,0.7728,0.0262,0.8114,4.3370
BSX,655,0.7924,0.0408,0.8106,4.3360
UBSG.SW,546,0.8132,0.0382,0.8145,4.3352
ALV,421,0.8385,0.0442,0.8188,4.3334
OVV,450,0.8222,0.0586,0.8147,4.3334
SBAC,518,0.7992,0.0648,0.8141,4.3313
WEN,639,0.7872,0.0394,0.8192,4.3312
BAC,731,0.7756,0.0383,0.8154,4.3312
BOSS.DE,482,0.8195,0.0464,0.8172,4.3309
NWG.L,595,0.7950,0.0492,0.8125,4.3308
LAMR,515,0.8097,0.0464,0.8177,4.3273
EBAY,525,0.8133,0.0457,0.8119,4.3262
XOM,816,0.7745,0.0255,0.8123,4.3260
JUN3.DE,549,0.8033,0.0426,0.8186,4.3260
SWK,673,0.7860,0.0357,0.8158,4.3259
FLS,697,0.7805,0.0431,0.8113,4.3253
WTS,719,0.7803,0.0369,0.8124,4.3244
VTRS,763,0.7720,0.0416,0.8101,4.3242
ROL,654,0.7966,0.0276,0.8144,4.3230
AES,681,0.7768,0.0517,0.8109,4.3228
CON.DE,553,0.8011,0.0422,0.8196,4.3228
HRB,756,0.7765,0.0355,0.8109,4.3223
RBA,469,0.8252,0.0359,0.8215,4.3205
DOC,584,0.8082,0.0344,0.8110,4.3204
COST,695,0.7856,0.0350,0.8115,4.3190
BNP.PA,597,0.7990,0.0426,0.8108,4.3185
FIX,578,0.7976,0.0475,0.8125,4.3184
DVN,703,0.7752,0.0440,0.8135,4.3173
CMA,646,0.7864,0.0388,0.8166,4.3171
RVTY,836,0.7620,0.0348,0.8134,4.3161
FDS,489,0.8139,0.0419,0.8217,4.3160
RLI,698,0.7865,0.0294,0.8132,4.3121
FCX,629,0.7758,0.0561,0.8164,4.3117
TMO,675,0.7837,0.0338,0.8164,4.3100
EXPD,711,0.7764,0.0390,0.8134,4.3097
NFLX,508,0.7953,0.0590,0.8211,4.3095
SYY,749,0.7797,0.0308,0.8099,4.3095
TRMB,696,0.7672,0.0493,0.8173,4.3076
SMG,567,0.7989,0.0393,0.8180,4.3075
CTRA,680,0.7735,0.0457,0.8163,4.3074
RF,665,0.7805,0.0379,0.8177,4.3063
RRC,704,0.7585,0.0605,0.8162,4.3060
COHR,721,0.7587,0.0577,0.8152,4.3055
AIXA.DE,578,0.7734,0.0678,0.8195,4.3048
AON,719,0.7775,0.0294,0.8170,4.3016
FLEX,653,0.7688,0.0598,0.8143,4.3012
AAL,396,0.8131,0.0753,0.8220,4.3005
HUBB,528,0.8182,0.0332,0.8112,4.3000
SAIA,516,0.7984,0.0567,0.8156,4.2995
STLD,636,0.7799,0.0542,0.8099,4.2991
NEE,656,0.7988,0.0235,0.8104,4.2984
LSCC,800,0.7512,0.0549,0.8111,4.2979
EA,742,0.7615,0.0461,0.8162,4.2979
EVD.DE,525,0.7943,0.0497,0.8224,4.2958
KLAC,790,0.7557,0.0476,0.8130,4.2953
CSX,765,0.7739,0.0324,0.8092,4.2934
AFG,674,0.7878,0.0319,0.8106,4.2933
